work,productAge,productName
0,272.7401507134954,broken mountain
0,359.4070825474884,Crowdsourced Funding Protection
0,221.65736684577547,Polished Leaf
0,51.214279853020834,Autank
0,358.89403318891203,oh!
0,40.21649494951389,Stages
0,365.83564621550926,crowdMASS
0,357.79611254765047,proud wave
0,258.98661409185183,Morning Snow
0,359.7310624347801,proud darkness
0,258.75776510870367,FiveMoreMinutes
0,354.5613773458333,Virtual dressing room
0,56.77309744753472,Project Mule
0,367.1172469702778,crowdvocate
0,323.44870945730327,little river
0,360.0625385429977,QTR
0,356.73829510283565,late sea
0,277.4735956433912,falling wave
0,37.93150830826389,My first App
0,93.88203936961806,Idea Assembler
0,323.8588508290625,Sageshare
0,361.0783756381945,Menyou
0,14.634708206504628,Inkspree
0,22.32153431880787,snapshot
